,"מקורות אגח 8 רמ- מקורות חברת מים בע""מ",1124346,אחר,1150,שירותים,AAA,מעלות,22/09/16,11.79,שקל חדש,4.10,0.02,"26,759,000.00",125.22,"33,507.62",0.77,11.94,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,די.בי.אס אגח א רמ- דיביאס,1106988,אחר,2201,שירותים,AA,מעלות,10/04/14,0.25,שקל חדש,8.40,29.66,"668,000.00",122.87,820.77,0.44,0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"די.בי.אס אגח ב-רמ- די.בי.אס. שירותי לוויין בע""מ",1121490,אחר,2201,שירותים,AA,מעלות,28/11/10,1.54,שקל חדש,5.35,3.47,"7,758,768.41",113.43,"8,800.77",1.29,3.14,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חשמל צמוד 2018 רמ- חברת החשמל לישראל בע""מ",6000079,אחר,600,חיפושי נפט וגז,AA,מעלות,24/08/09,0.84,שקל חדש,6.50,0.01,"250,000.00",125.86,314.65,0.03,0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חשמל צמוד 2022 רמ- חברת החשמל לישראל בע""מ",6000129,אחר,600,חיפושי נפט וגז,Aa2,מידרוג,18/01/11,4.05,שקל חדש,6.00,0.03,"24,154,767.00",120.35,"29,070.26",0.65,10.36,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נתיבי גז אג""ח א - רמ- נתיבי הגז הטבעי לישראל בע""מ",1103084,אחר,1418,שירותים,AA,מעלות,04/01/10,5.10,שקל חדש,5.60,0.01,"1,114,188.78",149.46,"1,665.27",0.12,0.59,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פתאל החזקות אגח א רמ- פתאל החזקות (1998) בע""מ",1132208,אחר,11203,מלונאות ותיירות,A1,מידרוג,12/05/14,3.36,שקל חדש,3.90,7.11,"2,525,693.18",108.84,"2,748.96",2.41,0.98,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דרך ארץ אגח ב ( מזנין)- דרך ארץ הייווייז (1997) בע""מ",90150200,אחר,10313,אחר,A2,מידרוג,16/03/11,5.17,שקל חדש,7.15,1.98,"5,066,186.84",138.99,"7,041.49",0.00,2.51,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"קבוצת דלק אגח סד יא- קבוצת דלק בע""מ",1098201,אחר,1095,השקעות ואחזקות,A,מעלות,12/05/15,1.25,שקל חדש,5.40,0.02,"11,324,783.00",123.70,"14,008.76",3.17,4.99,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אספיסי אלעד אגח 2 רמ- אס.פי.סי אל-עד,1092774,אחר,1229,"נדל""ן ובינוי",A-,מעלות,11/03/15,1.87,שקל חדש,6.70,0.04,"4,284,336.07",131.11,"5,617.19",2.24,2.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אספיסי אלעד אגח 3 רמ- אס.פי.סי אל-עד,1093939,אחר,1229,"נדל""ן ובינוי",A-,מעלות,10/03/16,2.14,שקל חדש,6.70,0.03,"8,312,750.30",131.33,"10,917.13",10.14,3.89,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סויטלנד אגח א רמ  8%- סויטלנד סי.ד(2011)בע""מ",1124908,אחר,1596,"נדל""ן ובינוי",A-,מעלות,28/02/13,0.65,שקל חדש,8.50,0.01,"531,499.97",109.15,580.13,0.99,0.21,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סויטלנד אגח ב' רצף מוסדיים- סויטלנד סי.ד(2011)בע""מ",1131234,אחר,1596,"נדל""ן ובינוי",A-,מעלות,13/02/14,1.77,שקל חדש,5.50,0.02,"2,926,500.00",107.14,"3,135.45",4.38,1.12,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סויטלנד אגח ג רצף מוסדיים- סויטלנד סי.ד(2011)בע""מ",1133867,אחר,1596,"נדל""ן ובינוי",A-,מעלות,03/12/14,5.08,שקל חדש,5.50,2.04,"6,938,000.00",108.48,"7,526.34",10.76,2.68,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קמור אגח ו,1320118,אחר,132,השקעות ואחזקות,D,מעלות,28/08/08,0.01,שקל חדש,5.50,0.01,"83,049.37",10.79,8.96,0.23,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אורתם סהר אגח ה- אורתם סהר הנדסה בע""מ",1128396,אחר,1424,"נדל""ן ובינוי",0,לא מדורג,30/12/14,0.48,שקל חדש,5.85,0.01,"3,626,107.70",14.40,522.16,2.03,0.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בסר אירופה אגח ט,1170166,אחר,117,"נדל""ן ובינוי",0,לא מדורג,31/12/13,0.01,שקל חדש,7.10,0.01,"345,000.13",25.43,87.73,0.00,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בסר אירופה אגח' ט' חש 112012- ב.ס.ר אירופה בע""מ",1170190,אחר,117,"נדל""ן ובינוי",0,לא מדורג,20/12/12,0.01,שקל חדש,7.10,0.01,"114,999.97",25.43,29.24,0.14,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גלובליקום טרייד אגח ב- גלובליקום טרייד בע""מ לשעבר מילומור",1095025,אחר,1287,מסחר,0,לא מדורג,24/01/08,0.01,שקל חדש,5.95,0.01,"1,875.00",0.00,0.00,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גלובליקום טרייד ב חש  11/08י- גלובליקום טרייד בע""מ לשעבר מילומור",1112903,אחר,1287,מסחר,0,לא מדורג,29/08/10,0.01,שקל חדש,5.95,0.01,625.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חבס אגח 4,4150124,אחר,415,"נדל""ן ובינוי",0,לא מדורג,06/07/14,0.01,שקל חדש,5.00,0.01,"78,532.94",22.48,17.65,0.00,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סובריין אגח א חש 07/12- סובריין נכסים בע""מ",3560083,אחר,356,"נדל""ן ובינוי",0,לא מדורג,11/07/12,0.01,שקל חדש,3.00,0.01,948.66,20.00,0.19,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סיאלו אגח א- סיאלו טכנולוגיה ישראל בע""מ",1102060,אחר,1400,מכשור רפואי,0,לא מדורג,14/02/08,0.01,שקל חדש,0.63,0.01,800.00,1.32,0.01,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סקיילקס אגח ו-לס (י- סקיילקס קורפוריישן בע""מ",1134659,אחר,2009,מסחר,0,לא מדורג,02/03/15,0.01,שקל חדש,0.00,0.01,"173,962.55",54.85,95.42,0.36,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סקיילקס אגח יג לס (י- סקיילקס קורפוריישן בע""מ",1134709,אחר,2009,מסחר,0,לא מדורג,02/03/15,0.01,שקל חדש,0.00,0.01,"530,178.77",0.00,0.00,0.27,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"רילון אגח 2 (מחוקה)- רילון בע""מ",3770070,אחר,377,"נדל""ן ובינוי",0,לא מדורג,17/12/12,0.01,שקל חדש,4.00,0.01,"120,259.33",38.92,46.80,0.00,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שיכון דייר אגח א- שיכון דיירים בע""מ",1102391,אחר,1409,"נדל""ן ובינוי",0,לא מדורג,11/08/10,0.01,שקל חדש,7.00,0.01,"2,828.67",112.10,3.17,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ לא צמוד",,,,,,,,1.68,,,12.19,"5,040,955.30",,"4,624.51",,1.65,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אאורה אגח 1 חוב שלא שולם 8/15.- אאורה השקעות בע""מ",3730389,אחר,373,"נדל""ן ובינוי",D,מעלות,01/09/15,0.01,שקל חדש,2.00,0.01,"4,428.61",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלון דלק אגח א חש1/17_(י)- אלון חברת הדלק לישראל בע""מ",113993013,אחר,2202,השקעות ואחזקות,D,מעלות,25/01/17,1.71,שקל חדש,0.00,12.43,"614,458.69",105.43,647.82,0.00,0.23,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלון חברת הדלק אגח סד' א- אלון חברת הדלק לישראל בע""מ",1101567,אחר,2202,השקעות ואחזקות,D,מעלות,31/07/16,1.71,שקל חדש,0.00,12.43,"3,686,750.44",105.43,"3,886.94",0.00,1.39,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"קמור אגח ח חש 11/12 י- קמור בע""מ",1320167,אחר,132,השקעות ואחזקות,D,מעלות,11/06/13,0.01,שקל חדש,8.50,0.01,"9,269.49",9.44,0.88,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"קמור אגח ח- קמור בע""מ",1320134,אחר,132,השקעות ואחזקות,D,מעלות,22/11/09,0.01,שקל חדש,8.50,0.01,"16,743.55",81.81,13.70,0.04,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,yl ג'י.אם.אף אגח א- ג'י.אם.אף לימיטד,1100791,אחר,1387,שירותים פיננסיים,0,לא מדורג,20/03/12,0.01,שקל חדש,2.50,0.01,"71,403.20",11.69,8.35,0.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אורכית אג ב ( מחוקה)- אורכית תקשורת ( לא סחירה ),1123843,אחר,27328,ציוד תקשורת,0,לא מדורג,17/07/11,0.01,שקל חדש,8.00,0.01,"241,408.64",18.71,45.17,1.51,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אורכית אגח א ( מחוקה )- אורכית תקשורת ( לא סחירה ),1103209,אחר,27328,ציוד תקשורת,0,לא מדורג,15/01/08,0.01,שקל חדש,6.00,0.01,"73,727.18",22.63,16.68,0.12,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אנטר הולדינג אגח ב לס- אלביט מדיקל טכנולוג'יס בע""מ",4740163,אחר,474,השקעות במדעי החיים,0,לא מדורג,28/06/10,0.01,שקל חדש,7.45,0.01,"10,959.12",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גלובליקום אגח א- גלובליקום טרייד בע""מ לשעבר מילומור",1094994,אחר,1287,מסחר,0,לא מדורג,24/01/08,0.01,שקל חדש,5.75,0.01,"2,400.00",0.00,0.00,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גלובליקום טרייד א' חש 7/09 י- גלובליקום טרייד בע""מ לשעבר מילומור",1114776,אחר,1287,מסחר,0,לא מדורג,29/08/10,0.01,שקל חדש,0.10,0.01,800.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גמול אגח א חש 12/09- גמול חברה להשקעות בע""מ",1116649,אחר,1134,השקעות ואחזקות,0,לא מדורג,29/08/10,0.01,שקל חדש,0.00,0.01,"1,420.04",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סובריין אג""ח א'- סובריין נכסים בע""מ",3560067,אחר,356,"נדל""ן ובינוי",0,לא מדורג,15/11/10,0.01,שקל חדש,3.00,0.01,"4,743.34",20.00,0.95,0.02,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פולישק אג""ח ב'- פולישק תעשיות פלסטיקה בע""מ",1119734,אחר,1220,השקעות ואחזקות,0,לא מדורג,16/06/10,0.01,שקל חדש,1.47,0.01,"282,193.00",1.14,3.22,0.62,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פסיפיקה אגח א- פסיפיקה אחזקות בע""מ",4380044,אחר,438,"נדל""ן ובינוי",0,לא מדורג,03/02/08,0.01,שקל חדש,2.50,0.01,"20,250.00",4.00,0.81,0.05,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ צמודות למט""ח",,,,,,,,4.87,,,4.78,"22,353.01",,73.35,,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אגלס צים סדרה ד'  7.14- צים שירותי ספנות משולבים בע""מ",6510069,אחר,651,שירותים,0,לא מדורג,20/07/14,2.55,דולר אמריקאי,3.18,2.07,"4,861.91",103.64,18.22,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"צים אג""ח A1-רמ- צים שירותי ספנות משולבים בע""מ",6510044,אחר,651,שירותים,0,לא מדורג,20/07/14,5.63,דולר אמריקאי,3.10,5.68,"17,491.10",87.20,55.14,0.00,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אחר",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בחו""ל",,,,,,,,5.91,,,4.08,"38,970,000.00",,"149,332.47",,53.22,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אג""ח קונצרני של חברות ישראליות",,,,,,,,5.91,,,4.08,"38,970,000.00",,"149,332.47",,53.22,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEVTAM 4.435% 30/12/20,il0011321663,אחר,1620,חיפושי נפט וגז,AA,מעלות,24/02/15,3.47,דולר אמריקאי,4.44,3.39,"7,097,099.00",104.85,"26,900.33",0.00,9.59,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEVTAM 5.082% 30/12/2023,il0011321747,אחר,1620,חיפושי נפט וגז,AA,מעלות,18/01/15,5.76,דולר אמריקאי,5.08,4.24,"9,801,241.00",106.36,"37,684.93",0.00,13.43,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEVTAM 5.412% 30/12/2025,il0011321820,אחר,1620,חיפושי נפט וגז,AA,מעלות,18/01/15,7.07,דולר אמריקאי,5.41,4.51,"9,362,660.00",108.12,"36,594.31",0.00,13.04,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Icl 4.5% 02/12/2024 י- כימיקלים לישראל בע""מ",IL0028102734,אחר,281,Materials,BBB,S&P,29/12/14,6.51,דולר אמריקאי,4.50,4.02,"12,709,000.00",104.81,"48,152.89",1.59,17.16,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אג""ח קונצרני של חברות זרות",,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
